# participants version:{'Dirichlet': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}, 'Neumann': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}}
# participants:{'Dirichlet': <prepesthel.participant.Participant object at 0x7fbfab7e5670>, 'Neumann': <prepesthel.participant.Participant object at 0x7fbfaac159a0>}
# run cmd:python3 doConvergenceStudy.py precice-config.xml.jinja2 --silent --executor Github --experiment sincos -w 6 -s 1 -wd 3 -sb 5 5 -dt 1 -tss GaussLegendre3 GaussLegendre3 --exchange-substeps -o results/Fig13/data/GL3_3.csv
# args:Namespace(template_path='precice-config.xml.jinja2', silent=True, executor='Github', max_time=1.0, base_time_window_size=1.0, time_window_refinements=6, base_time_step_refinement=[5, 5], time_step_refinements=1, time_step_refinement_factor=[2, 2], experiment='sincos', time_stepping_scheme=['GaussLegendre3', 'GaussLegendre3'], waveform_degree=3, exchange_substeps=True, out_filename='results/Fig13/data/GL3_3.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.3.1
# precice_config_params:{'time_window_size': 0.03125, 'max_time': 1.0, 'waveform_degree': 3, 'substeps': True}
time window size,time step size Dirichlet,time step size Neumann,substeps Dirichlet,avg(iterations / window),max(iterations / window),error Dirichlet,substeps Neumann,error Neumann
1.0,0.2,0.2,5,19.0,19,3.192797279911416e-06,5,5.817420252525208e-07
0.5,0.1,0.1,5,20.0,21,2.25900256989439e-07,5,4.262637707860425e-08
0.25,0.05,0.05,5,20.25,21,1.3277173044155893e-08,5,2.765970164950836e-09
0.125,0.025,0.025,5,16.5,18,7.675960861362987e-10,5,1.6091308013926406e-10
0.0625,0.0125,0.0125,5,18.375,22,5.0921608226733535e-11,5,1.274012656593056e-11
0.03125,0.00625,0.00625,5,15.03125,17,4.367681441333184e-12,5,1.9506535022537598e-12
